target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Curracurrang,Dingo_Ancient_Nullarbor,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Curracurrang,weight_Dingo_Ancient_Nullarbor,se_GermanShepherdDog,se_Dingo_Ancient_Curracurrang,se_Dingo_Ancient_Nullarbor,z_GermanShepherdDog,z_Dingo_Ancient_Curracurrang,z_Dingo_Ancient_Nullarbor,num_sources,num_right,all_above_3,rank
EAST_cd552,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.78214810410159,0.310389489831646,1,0.140267603531058,NA,0.859732396468942,TRUE,NA,NA,NA,NA,0.140267603531058,NA,0.859732396468942,0.0147131562936072,NA,0.0147131562936072,9.53348151354876,NA,58.4329004132506,2,6,TRUE,1
EAST_cd553,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.48423730067921,0.647460555481189,1,0.292773740873402,NA,0.707226259126598,TRUE,NA,NA,NA,NA,0.292773740873402,NA,0.707226259126598,0.0149119375796841,NA,0.014911937579684,19.6335143779219,NA,47.4268521677639,2,6,TRUE,1
EAST_cd554,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,1.49319471978802,0.827846249816621,1,0.211286669784811,NA,0.788713330215189,TRUE,NA,NA,NA,NA,0.211286669784811,NA,0.788713330215189,0.0174161992875631,NA,0.0174161992875631,12.1316175990068,NA,45.2861911598824,2,6,TRUE,1
EAST_cd559,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,9.86628193207833,0.0427414023096784,1,0.100455522381764,NA,0.899544477618237,TRUE,NA,NA,NA,NA,0.100455522381764,NA,0.899544477618237,0.0155790843248624,NA,0.0155790843248625,6.44810184520588,NA,57.7405230538911,2,6,TRUE,1
EAST_cd568,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.72008984102501,0.317241940353766,1,0.177836485503629,NA,0.822163514496371,TRUE,NA,NA,NA,NA,0.177836485503629,NA,0.822163514496371,0.0157852576855102,NA,0.0157852576855102,11.2659855826663,NA,52.0842631065227,2,6,TRUE,1
EAST_cd570,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,3.09598887558845,0.54189236650034,1,0.340958676963654,0.659041323036346,NA,TRUE,NA,NA,NA,NA,0.340958676963654,0.659041323036346,NA,0.0138581885166025,0.0138581885166025,NA,24.6034087756258,47.5560945246772,NA,2,6,TRUE,1
EAST_cd613,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,4.71333877637482,0.317994828362688,1,0.198307926839749,0.801692073160251,NA,TRUE,NA,NA,NA,NA,0.198307926839749,0.801692073160251,NA,0.0123941526377058,0.0123941526377058,NA,16.0001197852325,64.6830885978703,NA,2,6,TRUE,1
EAST_cd618,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,6.013120416651,0.198170573160392,1,0.190037705240807,NA,0.809962294759194,TRUE,NA,NA,NA,NA,0.190037705240807,NA,0.809962294759194,0.0151026550522572,NA,0.0151026550522571,12.5830659962272,NA,53.6304571584678,2,6,TRUE,1
EAST_cd622,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.13063196858947,0.18960268812217,1,0.182995484961258,0.817004515038742,NA,TRUE,NA,NA,NA,NA,0.182995484961258,0.817004515038742,NA,0.01330274622991,0.01330274622991,NA,13.7562185881446,61.4162294701061,NA,2,6,TRUE,1
EAST_cd623,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.75850919673117,0.149213655368711,1,0.292135424840718,0.707864575159283,NA,TRUE,NA,NA,NA,NA,0.292135424840718,0.707864575159283,NA,0.0134811351147083,0.0134811351147083,NA,21.669942653567,52.5077872995265,NA,2,6,TRUE,1
EAST_cd631,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,1.68340800665496,0.79372932885854,1,0.180803049398738,0.819196950601262,NA,TRUE,NA,NA,NA,NA,0.180803049398738,0.819196950601262,NA,0.0137792429239666,0.0137792429239666,NA,13.1214066256327,59.4515210394044,NA,2,6,TRUE,1
EAST_cd634,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,4.01456659366107,0.404038065140748,1,0.189316681323017,0.810683318676983,NA,TRUE,NA,NA,NA,NA,0.189316681323017,0.810683318676983,NA,0.0138879562875635,0.0138879562875634,NA,13.6317163881448,58.373118541779,NA,2,6,TRUE,1
EAST_cd636,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,1.36557082720958,0.850156346936658,1,0.251471281833224,0.748528718166776,NA,TRUE,NA,NA,NA,NA,0.251471281833224,0.748528718166776,NA,0.0156536588316723,0.0156536588316723,NA,16.0646967292029,47.818131608456,NA,2,6,TRUE,1
EAST_cd637,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.15173014101936,0.707875461741586,1,0.155333185932733,NA,0.844666814067267,TRUE,NA,NA,NA,NA,0.155333185932733,NA,0.844666814067267,0.0143222255741709,NA,0.0143222255741709,10.8456039271484,NA,58.9759468382178,2,6,TRUE,1
