,Node1_ID,Node2_ID
0,0,3
1,0,4
2,1,6
3,1,5
4,2,11
5,2,3
6,2,12
7,3,13
8,3,12
9,3,4
10,4,13
11,4,5
12,4,14
13,5,14
14,5,6
15,5,15
16,6,15
17,6,16
18,6,7
19,7,17
20,7,16
21,8,18
22,8,19
23,9,20
24,9,10
25,9,21
26,10,22
27,10,21
28,10,11
29,11,23
30,11,12
31,11,22
32,12,23
33,12,13
34,12,24
35,13,25
36,13,14
37,13,24
38,14,25
39,14,15
40,14,26
41,15,26
42,15,16
43,15,27
44,16,27
45,16,28
46,16,17
47,17,29
48,17,28
49,18,30
50,18,19
51,18,31
52,19,31
53,19,20
54,19,32
55,20,32
56,20,21
57,20,33
58,21,22
59,21,34
60,21,33
61,22,34
62,22,23
63,22,35
64,23,24
65,23,36
66,23,35
67,24,25
68,24,37
69,24,36
70,25,38
71,25,37
72,25,26
73,26,38
74,26,27
75,26,39
76,27,39
77,27,28
78,27,40
79,28,29
80,28,41
81,28,40
82,29,41
83,29,42
84,30,31
85,31,43
86,31,32
87,32,43
88,32,44
89,32,33
90,33,44
91,33,34
92,33,45
93,34,46
94,34,45
95,34,35
96,35,47
97,35,46
98,35,36
99,36,48
100,36,47
101,36,37
102,37,48
103,37,49
104,37,38
105,38,50
106,38,49
107,38,39
108,39,40
109,39,50
110,39,51
111,40,41
112,40,52
113,40,51
114,41,53
115,41,52
116,41,42
117,42,53
118,42,54
119,43,55
120,43,44
121,44,56
122,44,45
123,44,55
124,45,57
125,45,56
126,45,46
127,46,58
128,46,47
129,46,57
130,47,58
131,47,48
132,47,59
133,48,59
134,48,49
135,48,60
136,49,60
137,49,50
138,49,61
139,50,62
140,50,61
141,50,51
142,51,62
143,51,63
144,51,52
145,52,64
146,52,63
147,52,53
148,53,65
149,53,64
150,53,54
151,54,66
152,54,65
153,55,67
154,55,56
155,55,68
156,56,57
157,56,69
158,56,68
159,57,69
160,57,58
161,57,70
162,58,70
163,58,59
164,58,71
165,59,71
166,59,60
167,59,72
168,60,72
169,60,61
170,60,73
171,61,62
172,61,74
173,61,73
174,62,74
175,62,63
176,62,75
177,63,64
178,63,76
179,63,75
180,64,77
181,64,76
182,64,65
183,65,77
184,65,66
185,65,78
186,66,79
187,66,78
188,67,68
189,67,80
190,68,80
191,68,69
192,68,81
193,69,81
194,69,70
195,69,82
196,70,83
197,70,82
198,70,71
199,71,83
200,71,72
201,71,84
202,72,73
203,72,85
204,72,84
205,73,74
206,73,86
207,73,85
208,74,86
209,74,75
210,74,87
211,75,76
212,75,88
213,75,87
214,76,88
215,76,77
216,76,89
217,77,89
218,77,78
219,77,90
220,78,90
221,78,79
222,78,91
223,79,92
224,79,91
225,80,81
226,80,93
227,80,94
228,81,82
229,81,95
230,81,94
231,82,83
232,82,95
233,82,96
234,83,84
235,83,97
236,83,96
237,84,85
238,84,97
239,84,98
240,85,86
241,85,98
242,85,99
243,86,87
244,86,100
245,86,99
246,87,88
247,87,100
248,87,101
249,88,89
250,88,102
251,88,101
252,89,90
253,89,102
254,89,103
255,90,91
256,90,104
257,90,103
258,91,92
259,91,105
260,91,104
261,92,106
262,92,105
263,93,94
264,93,108
