Sample_Name	q_value
EAST_cd205	0.838
SOUTH_cd206	1
MIXED_cd209	0.093
MIXED_cd210	0.001
MIXED_cd212	0.002
HYBRID_cd213	0.442
MIXED_cd214	0.015
EAST_cd215	0.958
ASTCD_cd218	0
ASTCD_cd219	0.016
EAST_cd222	0.905
SOUTH_cd223	1
BORD_cd224	0
BORD_cd225	0
BORD_cd226	0
KELPIE_cd227	0
ACD_cd228	0
ACD_cd229	0
KELPIE_cd230	0.003
EAST_cd232	0.9
CAPTIVE_cd233	0.676
BORD_cd236	0
WEST_cd237	1
EAST_cd238	0.976
EAST_cd239	0.971
EAST_cd240	0.961
EAST_cd242	0.987
WEST_cd243	1
SOUTH_cd244	0.9
EAST_cd245	1
KELPIE_cd246	0
EAST_cd248	1
EAST_cd250	0.886
EAST_cd251	0.815
EAST_cd254	0.842
EAST_cd256	0.984
KELPIE_cd257	0
CAPTIVE_cd258	0.893
WEST_cd260	0.821
EAST_cd263	1
KELPIE_cd264	0.039
BORD_cd265	0
KELPIE_cd266	0
KELPIE_cd267	0
KELPIE_cd268	0
KELPIE_cd269	0
KELPIE_cd270	0
BIGDESERT_cd271	1
BIGDESERT_cd272	1
BIGDESERT_cd273	1
BIGDESERT_cd274	1
BIGDESERT_cd276	1
BIGDESERT_cd278	1
BIGDESERT_cd279	1
BIGDESERT_cd280	1
BIGDESERT_cd282	1
BIGDESERT_cd283	1
SOUTH_cd284	0.996
SOUTH_cd286	1
SOUTH_cd287	1
SOUTH_cd289	0.998
SOUTH_cd290	1
SOUTH_cd291	1
SOUTH_cd292	1
SOUTH_cd293	1
SOUTH_cd295	1
CAPTIVE_cd296	0.653
WEST_cd297	0.996
VIET_cd299	0.365
VIET_cd300	0.371
VIET_cd301	0.363
VIET_cd302	0.3
VIET_cd303	0.308
CAPTIVE_cd304	1
EAST_cd305	1
CAPTIVE_cd306	1
MIXED_cd307	0.09
CAPTIVE_cd308	1
WEST_cd309	1
CAPTIVE_cd310	1
WEST_cd311	1
SOUTH_cd312	1
CAPTIVE_cd313	1
EAST_cd314	0.953
EAST_cd315	0.751
BIGDESERT_cd316	1
CAPTIVE_cd317	1
SOUTH_cd318	0.955
EAST_cd319	0.968
EAST_cd320	0.814
MIXED_cd321	0.047
WEST_cd325	0.996
WEST_cd329	1
WEST_cd330	1
EAST_cd334	0.914
EAST_cd335	0.917
EAST_cd337	0.871
SOUTH_cd338	1
BIGDESERT_cd339	1
WEST_cd340	1
SOUTH_cd341	0.882
SOUTH_cd343	1
CAPTIVE_cd344	1
MIXED_cd345	0.088
MIXED_cd348	0
SOUTH_cd349	0.998
EAST_cd350	0.906
EAST_cd351	0.903
EAST_cd353	1
EAST_cd354	1
EAST_cd355	0.995
SOUTH_cd516	1
EAST_cd517	0.957
WEST_cd518	1
EAST_cd519	0.988
EAST_cd520	0.919
EAST_cd521	0.903
EAST_cd522	0.87
EAST_cd523	0.897
EAST_cd526	1
EAST_cd527	0.998
SOUTH_cd547	1
SOUTH_cd548	1
SOUTH_cd549	1
EAST_cd550	1
EAST_cd551	0.999
EAST_cd552	0.989
EAST_cd553	0.819
EAST_cd554	0.999
WEST_cd555	0.998
EAST_cd559	1
WEST_cd561	1
MIXED_cd562	0
WEST_cd563	1
WEST_cd565	0.723
CAPTIVE_cd566	0.984
WEST_cd567	0.843
EAST_cd568	0.911
EAST_cd570	0.795
WEST_cd574	1
WEST_cd575	1
WEST_cd581	0.985
WEST_cd583	1
WEST_cd585	1
WEST_cd586	1
WEST_cd589	0.999
WEST_cd590	1
WEST_cd591	1
WEST_cd592	1
WEST_cd593	1
MIXED_cd594	0
WEST_cd595	0.954
WEST_cd596	0.935
WEST_cd597	0.989
WEST_cd598	0.849
WEST_cd599	1
WEST_cd600	1
WEST_cd602	1
SOUTH_cd605	1
SOUTH_cd606	1
EAST_cd613	0.986
SOUTH_cd615	1
SOUTH_cd617	1
EAST_cd618	0.94
EAST_cd622	1
EAST_cd623	0.825
MIXED_cd625	0.005
WEST_cd626	1
CAPTIVE_cd627	0.991
BIGDESERT_cd628	1
CAPTIVE_cd629	0.811
HYBRID_cd630	0.507
EAST_cd631	1
EAST_cd634	0.946
KELPIE_cd635	0
EAST_cd636	1
EAST_cd637	1
WEST_cd638	0.997
SOUTH_cd639	1
BIGDESERT_cd641	1
BIGDESERT_cd642	1
MIXED_cd643	0.079
KELPIE_cd644	0
EAST_cd645	1
SOUTH_cd646	0.972
EAST_cd647	1
HYBRID_cd648	0.523
EAST_cd649	1
EAST_cd650	0.991
SOUTH_cd651	1
CAPTIVE_cd652	1
MIXED_cd653	0
EAST_cd654	0.865
EAST_cd655	0.876
EAST_cd656	0.903
WEST_cd657	0.997
WEST_cd658	1
EAST_cd659	0.888
HYBRID_cd661	0.468
EAST_cd663	0.965
HYBRID_cd664	0.508
WEST_cd665	0.997
WEST_cd666	0.942
CAPTIVE_cd667	1
SOUTH_cd672	1
SOUTH_cd673	1
SOUTH_cd674	1
SOUTH_cd678	1
SOUTH_cd683	1
SOUTH_cd684	1
SOUTH_cd686	1
WEST_cd695	1
WEST_cd696	1
WEST_cd697	0.999
WEST_cd699	1
MIXED_cd700	0
EAST_cd702	0.996
WEST_cd708	0.91
WEST_cd709	0.734
WEST_cd710	0.698
SOUTH_cd712	1
SOUTH_cd713	1
EAST_cd714	1
EAST_cd718	1
SOUTH_Kosci1	1
SOUTH_Kosci3	1
WEST_NT01	1
WEST_NT03	1
WEST_NT05	1
WEST_NT06	1
WEST_NT07	1
WEST_NT09	1
WEST_NT10	0.968
WEST_NT11	1
WEST_NT12	1
WEST_TA24	0.962
WEST_TA30	1
