,Weight
0,2.236555706596536
1,2.7765535144841005
2,3.115714075709465
3,3.661443803195351
4,2.064247629260385
5,1.7782721023511727
6,0.9578978743462302
7,2.5372263118142486
8,1.297161417849954
9,2.3662982763809985
10,2.578256514444799
11,2.7884401561063292
12,3.610039054190841
13,3.2802219527812375
14,3.2508904983708913
15,3.419908107108731
16,4.160329211940867
17,3.8734253220524613
18,4.3347198538202525
19,4.94356635517022
20,5.497038724813511
21,1.31899842450994
22,1.4047606229390108
23,1.948665083240469
24,1.7479060764315626
25,1.9900085183403378
26,1.8110957005877948
27,2.0102338857332023
28,2.371514748294814
29,0.9490348328878633
30,2.2055995852445123
31,2.1585438349004886
32,1.4570058160091146
33,1.1121785009918934
34,0.8370633394601378
35,3.726322304163244
36,2.7868163090146987
37,2.8180138211250596
38,3.2268232022407908
39,4.034084657542978
40,3.5932342760038183
41,4.245345801667527
42,4.048205997447315
43,4.283649333318576
44,5.5423640694969425
45,5.0650766695999465
46,5.224284138344668
47,6.456703158576008
48,5.695484674680763
49,1.3853420051856078
50,1.3083273050040052
51,1.3567927539431075
52,1.5600592315665707
53,1.4105869770610375
54,1.462424354586628
55,1.87095297481962
56,1.5729012753736615
57,1.682601321849029
58,2.285722613120691
59,1.8373972114153
60,2.2013512935221353
61,2.5738114642059196
62,2.416057321380729
63,3.5311351698019475
64,2.8368113230488525
65,3.754329875987147
66,3.125860304001971
67,3.219173169957368
68,3.3709106602860053
69,3.1112477599129646
70,3.6694177052855537
71,3.889597636367812
72,3.7606304547812424
73,4.318373033641586
74,4.34834266854389
75,4.450239258666937
76,5.181720461089641
77,5.112083077175027
78,5.338421021180719
79,4.928602736190804
80,5.914244520599185
81,5.455817848800505
82,5.007468380833113
83,0.8750581794201351
84,1.3603646096621753
85,1.4397683061711077
86,1.3965981841787678
87,1.5934907763307702
88,1.4622558518372601
89,1.3932770487730826
90,2.041003279320713
91,1.5059579627730415
92,1.4634254353233793
93,3.400707757546202
94,1.7841486759639285
95,2.2498011740261563
96,4.659920641607339
97,3.508182194962697
98,4.687645291183271
99,4.038583793415926
100,3.8512182406250624
101,4.079184466450031
102,4.082454067028378
103,4.098293408411832
104,4.1175640528353155
105,4.5918650387617355
106,4.492705998622852
107,4.623275300077271
108,5.345092683365577
109,5.210416707020128
110,5.504702228460436
111,5.26137706946873
112,5.997885036241581
113,6.334472420752855
114,1.2863973567489368
115,5.872146427733258
116,5.930504951581794
117,1.878554506565108
118,2.3478116529034883
