,NodeID
0,12
1,14
2,17
3,35
4,42
5,54
6,57
7,61
8,64
9,69
10,72
11,73
12,76
13,77
14,82
15,84
16,96
17,97
18,104
19,112
20,122
21,125
22,136
23,137
24,138
25,153
26,168
27,195
28,209
29,213
30,223
31,246
32,270
33,273
34,274
35,291
36,350
37,366
38,367
39,387
40,391
41,392
42,406
43,407
44,410
45,412
46,431
47,449
48,463
49,475
50,487
51,488
52,502
53,513
54,514
55,532
56,536
57,537
58,544
59,545
60,547
61,557
62,571
63,578
64,585
65,586
66,590
67,596
68,597
69,605
70,607
71,608
72,609
73,610
