,Weight
0,-0.1875505579700094
1,-0.09362422936801706
2,-0.04357268143047355
3,0.026522095135157575
4,-0.22236848323138864
5,-0.2871320624225209
6,-0.5558110681974944
7,-0.13277107120705423
8,-0.4241362549774104
9,-0.16306079033793364
10,-0.12580415397375305
11,-0.09176894937265978
12,0.020381622500940777
13,-0.021227046935723082
14,-0.025127936572966192
15,-0.003115840997468644
16,0.08199742051758918
17,0.05096490965295286
18,0.0998307572218603
19,0.15691009013953916
20,0.20299851871432606
21,-0.4168860009231255
22,-0.3895279527654204
23,-0.24739307431531382
24,-0.2946121855704078
25,-0.23827534228770064
26,-0.27918887813248655
27,-0.2338836882752821
28,-0.16210444787746436
29,-0.55984812488088
30,-0.19360360629254925
31,-0.2029694051510086
32,-0.3736689923523955
33,-0.49095578204637885
34,-0.6143719560051006
35,0.03415013828734015
36,-0.09202193427324823
37,-0.08718715891966278
38,-0.02835510667720076
39,0.0686147301644775
40,0.018355256058312897
41,0.0907827934508122
42,0.07013232622724563
43,0.09468363382135647
44,0.20656477280695817
45,0.1674557458990279
46,0.18089651159322961
47,0.27288054282350527
48,0.2184004098817156
49,-0.3955732749870814
50,-0.42041387243841327
51,-0.40461676218719533
52,-0.34398918997451433
53,-0.38773040772539186
54,-0.3720568667190608
55,-0.2650674057934864
56,-0.34042881314515
57,-0.31114905196186887
58,-0.17810675284473126
59,-0.2729272248038674
60,-0.19444092455400347
61,-0.1265535467525446
62,-0.15402304393913202
63,0.010784064698965867
64,-0.08429982598873975
65,0.03740215173121675
66,-0.0421607124069856
67,-0.02938593827407132
68,-0.009383035216227187
69,-0.04419568079635672
70,0.027466874418940135
71,0.052774399864426336
72,0.038130381056129314
73,0.09818987751838149
74,0.10119348335712341
75,0.11125308290443947
76,0.1773437026212944
77,0.1714676252652092
78,0.1902825442513164
79,0.1555935360836469
80,0.23476899846195187
81,0.1997295845523297
82,0.16248793794177785
83,-0.5950933490876191
84,-0.4034749526304379
85,-0.3788376685769548
86,-0.3920588046758873
87,-0.33478072375054213
88,-0.3721069096701884
89,-0.3930927946153875
90,-0.22728657521643159
91,-0.3593174285608541
92,-0.3717596786280142
93,-0.005560965618934044
94,-0.28569923572050626
95,-0.1849861386507498
96,0.13124824300047988
97,0.00795186233398626
98,0.13382446395844072
99,0.06909882042462723
100,0.04846785217339322
101,0.07344306744484996
102,0.07379102933003767
103,0.07547276982534801
104,0.07751008605756349
105,0.12485883734180547
106,0.11537772169530969
107,0.12781947722192144
108,0.19082496250972558
109,0.17974217999574826
110,0.20360355348079395
111,0.18396914996714975
112,0.24086785949203016
113,0.2645801719155533
114,-0.4277551386927799
115,0.2316665988794232
116,0.23596139512713565
117,-0.2633064770152994
118,-0.166467023897368
119,-0.40705444569122207
120,-0.38999122045721496
121,-0.4118326810153743
122,-0.39331013840234896
123,-0.5635471920700423
124,-0.3375803647480647
125,-0.5466456939858195
126,-0.7030156106582514
127,-0.08428723428548274
128,-0.7487716708486302
129,-0.19195833213332397
130,0.06606367606829033
131,-0.06994403191590093
132,0.07417050390380475
133,0.09637392844036541
134,0.0765065907648641
135,0.030367536743794554
136,0.13144636337381121
137,0.06432865130516119
138,0.12196224430764269
139,0.20907090515461424
140,0.16515288443806397
141,0.18170979916398433
142,0.27097564337630053
143,0.2366383830323162
144,0.2818629347984487
145,0.27665984528678844
