target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Nullarbor,Dingo_Ancient_Curracurrang,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Nullarbor,weight_Dingo_Ancient_Curracurrang,se_GermanShepherdDog,se_Dingo_Ancient_Nullarbor,se_Dingo_Ancient_Curracurrang,z_GermanShepherdDog,z_Dingo_Ancient_Nullarbor,z_Dingo_Ancient_Curracurrang,num_sources,num_right,all_above_3,sum_above_3,rank
Dingo16,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.30514760104134,0.679832008380342,1,0.12888972827942,0.87111027172058,NA,TRUE,NA,NA,NA,NA,0.12888972827942,0.87111027172058,NA,0.0150640961489515,0.0150640961489516,NA,8.55608773370658,57.8269192593548,NA,2,6,TRUE,2,1
Dingo17,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,4.01403155060642,0.404110216496611,1,0.15304389649152,0.84695610350848,NA,TRUE,NA,NA,NA,NA,0.15304389649152,0.84695610350848,NA,0.0147606642813446,0.0147606642813445,NA,10.3683610421887,57.3792674479371,NA,2,6,TRUE,2,1
Dingo18,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,10.5690045011674,0.0318596293561638,1,0.196886764155503,0.803113235844497,NA,TRUE,NA,NA,NA,NA,0.196886764155503,0.803113235844497,NA,0.0133918620219645,0.0133918620219646,NA,14.7019707814031,59.9702442070622,NA,2,6,TRUE,2,1
Dingo19,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.04067872017163,0.728276960606762,1,0.137918749871107,0.862081250128893,NA,TRUE,NA,NA,NA,NA,0.137918749871107,0.862081250128893,NA,0.0142693145554619,0.0142693145554619,NA,9.66540819708229,60.415042837423,NA,2,6,TRUE,2,1
Dingo20,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,5.50210597658726,0.239544424491668,1,0.237586107347003,0.762413892652997,NA,TRUE,NA,NA,NA,NA,0.237586107347003,0.762413892652997,NA,0.0140386659215095,0.0140386659215095,NA,16.9236955046407,54.308144158118,NA,2,6,TRUE,2,1
Dingo21,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,4.92218391627402,0.295375507884575,1,0.0982135023349964,NA,0.901786497665004,TRUE,NA,NA,NA,NA,0.0982135023349964,NA,0.901786497665004,0.0132683219214933,NA,0.0132683219214933,7.40210426880743,NA,67.965376707073,2,6,TRUE,2,1
Dingo22,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,9.98318149788447,0.0407119423950051,1,0.121082760750796,0.878917239249204,NA,TRUE,NA,NA,NA,NA,0.121082760750796,0.878917239249204,NA,0.0141402914215038,0.0141402914215037,NA,8.56296077226954,62.1569395601422,NA,2,6,TRUE,2,1
Dingo23,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,6.97714990305562,0.137100686808343,1,0.199994753332429,0.800005246667571,NA,TRUE,NA,NA,NA,NA,0.199994753332429,0.800005246667571,NA,0.0157094928503123,0.0157094928503123,NA,12.7308217545961,50.9249569219332,NA,2,6,TRUE,2,1
Dingo24,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,0.981822007618959,0.912539726360529,1,0.186091253524476,0.813908746475524,NA,TRUE,NA,NA,NA,NA,0.186091253524476,0.813908746475524,NA,0.0153806178238037,0.0153806178238037,NA,12.0990753203993,52.9178187638137,NA,2,6,TRUE,2,1
Dingo25,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,5.12606830204619,0.274604971982757,1,0.192137363864963,0.807862636135037,NA,TRUE,NA,NA,NA,NA,0.192137363864963,0.807862636135037,NA,0.0160329967860343,0.0160329967860343,NA,11.9838709150323,50.38750065981,NA,2,6,TRUE,2,1
Dingo26,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.17193921699417,0.52947513177082,1,0.192363242584458,0.807636757415542,NA,TRUE,NA,NA,NA,NA,0.192363242584458,0.807636757415542,NA,0.0149018273661772,0.0149018273661773,NA,12.908701587905,54.1971623727596,NA,2,6,TRUE,2,1
Dingo28,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,11.4809852395203,0.0216584498251815,1,0.122598129505391,0.877401870494609,NA,TRUE,NA,NA,NA,NA,0.122598129505391,0.877401870494609,NA,0.0176664257384417,0.0176664257384417,NA,6.93961140303671,49.6649341233414,NA,2,6,TRUE,2,1
Dingo29,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,8.17151835751764,0.0854935056947298,1,0.191684603970195,0.808315396029805,NA,TRUE,NA,NA,NA,NA,0.191684603970195,0.808315396029805,NA,0.0151935947031561,0.0151935947031561,NA,12.6161456663299,53.201063462743,NA,2,6,TRUE,2,1
Dingo30,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,7.22794714524137,0.124321523156438,1,0.211375871470608,0.788624128529392,NA,TRUE,NA,NA,NA,NA,0.211375871470608,0.788624128529392,NA,0.0151358474681327,0.0151358474681326,NA,13.9652485211445,52.1030705541781,NA,2,6,TRUE,2,1
Dingo31,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,12.3891332715308,0.0146804217221082,1,0.149851637598302,0.850148362401698,NA,TRUE,NA,NA,NA,NA,0.149851637598302,0.850148362401698,NA,0.0149846963046615,0.0149846963046615,NA,10.0003119550501,56.7344405997225,NA,2,6,TRUE,2,1
